task,task_family,stimulus_group,mean_score,baseline_score,delta_vs_baseline,std_score,direction
synonyms,lexical_semantics,competence_threat,0.045,0.06,-0.015,0.005,worse_than_baseline
synonyms,lexical_semantics,inconsistency,0.045,0.06,-0.015,0.005,worse_than_baseline
synonyms,lexical_semantics,social_comparison,0.045,0.06,-0.015,0.005,worse_than_baseline
taxonomy_animal,semantic_filtering,urgency,0.105,0.12,-0.015,0.005,worse_than_baseline
translation_en-es,translation,competence_threat,0.405,0.42,-0.015,0.055,worse_than_baseline
translation_en-fr,translation,competence_threat,0.415,0.4,0.015,0.015,better_than_baseline
translation_en-fr,translation,regret,0.385,0.4,-0.015,0.015,worse_than_baseline
active_to_passive,rewriting_transformation,competence_threat,0.04,0.03,0.01,0.02,better_than_baseline
active_to_passive,rewriting_transformation,inconsistency,0.04,0.03,0.01,0.03,better_than_baseline
antonyms,lexical_semantics,social_comparison,0.55,0.56,-0.01,0.01,worse_than_baseline
diff,numerical_reasoning,social_comparison,0.04,0.05,-0.01,0.0,worse_than_baseline
second_word_letter,string_extraction,inconsistency,0.99,1.0,-0.01,0.01,worse_than_baseline
second_word_letter,string_extraction,regret,0.99,1.0,-0.01,0.01,worse_than_baseline
sentence_similarity,semantic_similarity,urgency,0.57,0.56,0.01,0.01,better_than_baseline
singular_to_plural,morphology,inconsistency,0.39,0.38,0.01,0.23,better_than_baseline
sum,numerical_reasoning,competence_threat,0.02,0.03,-0.01,0.0,worse_than_baseline
sum,numerical_reasoning,regret,0.02,0.03,-0.01,0.0,worse_than_baseline
sum,numerical_reasoning,social_comparison,0.02,0.03,-0.01,0.0,worse_than_baseline
sum,numerical_reasoning,urgency,0.02,0.03,-0.01,0.0,worse_than_baseline
synonyms,lexical_semantics,regret,0.05,0.06,-0.01,0.0,worse_than_baseline
synonyms,lexical_semantics,urgency,0.05,0.06,-0.01,0.0,worse_than_baseline
taxonomy_animal,semantic_filtering,regret,0.11,0.12,-0.01,0.03,worse_than_baseline
informal_to_formal,rewriting_transformation,competence_threat,0.442922,0.437367,0.005555,0.005556,better_than_baseline
active_to_passive,rewriting_transformation,social_comparison,0.035,0.03,0.005,0.005,better_than_baseline
active_to_passive,rewriting_transformation,urgency,0.035,0.03,0.005,0.005,better_than_baseline
antonyms,lexical_semantics,competence_threat,0.555,0.56,-0.005,0.005,worse_than_baseline
diff,numerical_reasoning,inconsistency,0.045,0.05,-0.005,0.015,worse_than_baseline
first_word_letter,string_extraction,inconsistency,0.995,1.0,-0.005,0.005,worse_than_baseline
negation,rewriting_transformation,competence_threat,0.005,0.0,0.005,0.005,better_than_baseline
rhymes,lexical_generation,social_comparison,0.185,0.19,-0.005,0.025,worse_than_baseline
second_word_letter,string_extraction,urgency,0.995,1.0,-0.005,0.005,worse_than_baseline
sentence_similarity,semantic_similarity,regret,0.565,0.56,0.005,0.005,better_than_baseline
sentence_similarity,semantic_similarity,social_comparison,0.565,0.56,0.005,0.005,better_than_baseline
sentiment,sentiment_classification,inconsistency,0.935,0.93,0.005,0.005,better_than_baseline
sum,numerical_reasoning,inconsistency,0.025,0.03,-0.005,0.005,worse_than_baseline
translation_en-de,translation,inconsistency,0.155,0.15,0.005,0.025,better_than_baseline
translation_en-de,translation,urgency,0.155,0.15,0.005,0.015,better_than_baseline
translation_en-fr,translation,urgency,0.395,0.4,-0.005,0.015,worse_than_baseline
informal_to_formal,rewriting_transformation,regret,0.435515,0.437367,-0.001852,0.001852,worse_than_baseline
informal_to_formal,rewriting_transformation,social_comparison,0.435515,0.437367,-0.001852,0.001852,worse_than_baseline
common_concept,semantic_abstraction,competence_threat,0.0,0.0,0.0,0.0,equal_to_baseline
common_concept,semantic_abstraction,inconsistency,0.0,0.0,0.0,0.0,equal_to_baseline
common_concept,semantic_abstraction,regret,0.0,0.0,0.0,0.0,equal_to_baseline
common_concept,semantic_abstraction,social_comparison,0.0,0.0,0.0,0.0,equal_to_baseline
common_concept,semantic_abstraction,urgency,0.0,0.0,0.0,0.0,equal_to_baseline
diff,numerical_reasoning,competence_threat,0.05,0.05,0.0,0.01,equal_to_baseline
first_word_letter,string_extraction,competence_threat,1.0,1.0,0.0,0.0,equal_to_baseline
first_word_letter,string_extraction,regret,1.0,1.0,0.0,0.0,equal_to_baseline
first_word_letter,string_extraction,social_comparison,1.0,1.0,0.0,0.0,equal_to_baseline
first_word_letter,string_extraction,urgency,1.0,1.0,0.0,0.0,equal_to_baseline
informal_to_formal,rewriting_transformation,urgency,0.437367,0.437367,0.0,0.0,equal_to_baseline
letters_list,string_transformation,competence_threat,0.0,0.0,0.0,0.0,equal_to_baseline
letters_list,string_transformation,inconsistency,0.0,0.0,0.0,0.0,equal_to_baseline
letters_list,string_transformation,regret,0.0,0.0,0.0,0.0,equal_to_baseline
letters_list,string_transformation,social_comparison,0.0,0.0,0.0,0.0,equal_to_baseline
letters_list,string_transformation,urgency,0.0,0.0,0.0,0.0,equal_to_baseline
negation,rewriting_transformation,inconsistency,0.0,0.0,0.0,0.0,equal_to_baseline
negation,rewriting_transformation,regret,0.0,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,competence_threat,0.0,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,inconsistency,0.0,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,regret,0.0,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,social_comparison,0.0,0.0,0.0,0.0,equal_to_baseline
num_to_verbal,numerical_verbalization,urgency,0.0,0.0,0.0,0.0,equal_to_baseline
sentiment,sentiment_classification,competence_threat,0.93,0.93,0.0,0.0,equal_to_baseline
sentiment,sentiment_classification,regret,0.93,0.93,0.0,0.0,equal_to_baseline
sentiment,sentiment_classification,social_comparison,0.93,0.93,0.0,0.0,equal_to_baseline
sentiment,sentiment_classification,urgency,0.93,0.93,0.0,0.0,equal_to_baseline
taxonomy_animal,semantic_filtering,social_comparison,0.12,0.12,0.0,0.01,equal_to_baseline
translation_en-de,translation,regret,0.15,0.15,0.0,0.01,equal_to_baseline
