task,task_family,stimulus_group,model,n_runs,mean_score,std_score,baseline_score,delta_vs_baseline
num_to_verbal,numerical_verbalization,negative_original,flan-t5-large,30,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,regret,flan-t5-large,6,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,social_comparison,flan-t5-large,6,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,urgency,flan-t5-large,6,0.0,0.0,0.0,0.0
orthography_starts_with,string_filtering,baseline,flan-t5-large,3,0.02,0.0,0.02,0.0
orthography_starts_with,string_filtering,competence_threat,flan-t5-large,6,0.13,0.05,0.02,0.11
orthography_starts_with,string_filtering,inconsistency,flan-t5-large,6,0.18,0.0,0.02,0.16
orthography_starts_with,string_filtering,negative_original,flan-t5-large,30,0.058,0.015362,0.02,0.038
orthography_starts_with,string_filtering,regret,flan-t5-large,6,0.1,0.01,0.02,0.08
orthography_starts_with,string_filtering,social_comparison,flan-t5-large,6,0.09,0.02,0.02,0.07
orthography_starts_with,string_filtering,urgency,flan-t5-large,6,0.1,0.02,0.02,0.08
rhymes,lexical_generation,baseline,flan-t5-large,3,0.19,0.0,0.19,0.0
rhymes,lexical_generation,competence_threat,flan-t5-large,6,0.165,0.035,0.19,-0.025
rhymes,lexical_generation,inconsistency,flan-t5-large,6,0.1,0.05,0.19,-0.09
rhymes,lexical_generation,negative_original,flan-t5-large,30,0.265,0.030414,0.19,0.075
rhymes,lexical_generation,regret,flan-t5-large,6,0.15,0.0,0.19,-0.04
rhymes,lexical_generation,social_comparison,flan-t5-large,6,0.185,0.025,0.19,-0.005
rhymes,lexical_generation,urgency,flan-t5-large,6,0.22,0.06,0.19,0.03
second_word_letter,string_extraction,baseline,flan-t5-large,3,1.0,0.0,1.0,0.0
second_word_letter,string_extraction,competence_threat,flan-t5-large,6,0.945,0.055,1.0,-0.055
second_word_letter,string_extraction,inconsistency,flan-t5-large,6,0.99,0.01,1.0,-0.01
second_word_letter,string_extraction,negative_original,flan-t5-large,30,0.951,0.070633,1.0,-0.049
second_word_letter,string_extraction,regret,flan-t5-large,6,0.99,0.01,1.0,-0.01
second_word_letter,string_extraction,social_comparison,flan-t5-large,6,0.98,0.02,1.0,-0.02
second_word_letter,string_extraction,urgency,flan-t5-large,6,0.995,0.005,1.0,-0.005
sentence_similarity,semantic_similarity,baseline,flan-t5-large,3,0.56,0.0,0.56,0.0
sentence_similarity,semantic_similarity,competence_threat,flan-t5-large,6,0.575,0.015,0.56,0.015
sentence_similarity,semantic_similarity,inconsistency,flan-t5-large,6,0.585,0.005,0.56,0.025
sentence_similarity,semantic_similarity,negative_original,flan-t5-large,30,0.575,0.01118,0.56,0.015
sentence_similarity,semantic_similarity,regret,flan-t5-large,6,0.565,0.005,0.56,0.005
sentence_similarity,semantic_similarity,social_comparison,flan-t5-large,6,0.565,0.005,0.56,0.005
sentence_similarity,semantic_similarity,urgency,flan-t5-large,6,0.57,0.01,0.56,0.01
sentiment,sentiment_classification,baseline,flan-t5-large,3,0.93,0.0,0.93,0.0
sentiment,sentiment_classification,competence_threat,flan-t5-large,6,0.93,0.0,0.93,0.0
sentiment,sentiment_classification,inconsistency,flan-t5-large,6,0.935,0.005,0.93,0.005
sentiment,sentiment_classification,negative_original,flan-t5-large,30,0.935,0.006708,0.93,0.005
sentiment,sentiment_classification,regret,flan-t5-large,6,0.93,0.0,0.93,0.0
sentiment,sentiment_classification,social_comparison,flan-t5-large,6,0.93,0.0,0.93,0.0
sentiment,sentiment_classification,urgency,flan-t5-large,6,0.93,0.0,0.93,0.0
singular_to_plural,morphology,baseline,flan-t5-large,3,0.38,0.0,0.38,0.0
singular_to_plural,morphology,competence_threat,flan-t5-large,6,0.305,0.085,0.38,-0.075
singular_to_plural,morphology,inconsistency,flan-t5-large,6,0.39,0.23,0.38,0.01
singular_to_plural,morphology,negative_original,flan-t5-large,30,0.128,0.06353,0.38,-0.252
singular_to_plural,morphology,regret,flan-t5-large,6,0.09,0.02,0.38,-0.29
singular_to_plural,morphology,social_comparison,flan-t5-large,6,0.145,0.105,0.38,-0.235
singular_to_plural,morphology,urgency,flan-t5-large,6,0.18,0.06,0.38,-0.2
sum,numerical_reasoning,baseline,flan-t5-large,3,0.03,0.0,0.03,0.0
sum,numerical_reasoning,competence_threat,flan-t5-large,6,0.02,0.0,0.03,-0.01
sum,numerical_reasoning,inconsistency,flan-t5-large,6,0.025,0.005,0.03,-0.005
sum,numerical_reasoning,negative_original,flan-t5-large,30,0.021,0.003,0.03,-0.009
sum,numerical_reasoning,regret,flan-t5-large,6,0.02,0.0,0.03,-0.01
sum,numerical_reasoning,social_comparison,flan-t5-large,6,0.02,0.0,0.03,-0.01
sum,numerical_reasoning,urgency,flan-t5-large,6,0.02,0.0,0.03,-0.01
synonyms,lexical_semantics,baseline,flan-t5-large,3,0.06,0.0,0.06,0.0
synonyms,lexical_semantics,competence_threat,flan-t5-large,6,0.045,0.005,0.06,-0.015
synonyms,lexical_semantics,inconsistency,flan-t5-large,6,0.045,0.005,0.06,-0.015
synonyms,lexical_semantics,negative_original,flan-t5-large,30,0.048,0.006,0.06,-0.012
synonyms,lexical_semantics,regret,flan-t5-large,6,0.05,0.0,0.06,-0.01
synonyms,lexical_semantics,social_comparison,flan-t5-large,6,0.045,0.005,0.06,-0.015
synonyms,lexical_semantics,urgency,flan-t5-large,6,0.05,0.0,0.06,-0.01
taxonomy_animal,semantic_filtering,baseline,flan-t5-large,3,0.12,0.0,0.12,0.0
taxonomy_animal,semantic_filtering,competence_threat,flan-t5-large,6,0.09,0.01,0.12,-0.03
taxonomy_animal,semantic_filtering,inconsistency,flan-t5-large,6,0.085,0.065,0.12,-0.035
taxonomy_animal,semantic_filtering,negative_original,flan-t5-large,30,0.104,0.023749,0.12,-0.016
taxonomy_animal,semantic_filtering,regret,flan-t5-large,6,0.11,0.03,0.12,-0.01
taxonomy_animal,semantic_filtering,social_comparison,flan-t5-large,6,0.12,0.01,0.12,0.0
taxonomy_animal,semantic_filtering,urgency,flan-t5-large,6,0.105,0.005,0.12,-0.015
translation_en-de,translation,baseline,flan-t5-large,3,0.15,0.0,0.15,0.0
translation_en-de,translation,competence_threat,flan-t5-large,6,0.185,0.015,0.15,0.035
translation_en-de,translation,inconsistency,flan-t5-large,6,0.155,0.025,0.15,0.005
translation_en-de,translation,negative_original,flan-t5-large,30,0.185,0.015,0.15,0.035
translation_en-de,translation,regret,flan-t5-large,6,0.15,0.01,0.15,0.0
translation_en-de,translation,social_comparison,flan-t5-large,6,0.175,0.005,0.15,0.025
translation_en-de,translation,urgency,flan-t5-large,6,0.155,0.015,0.15,0.005
translation_en-es,translation,baseline,flan-t5-large,3,0.42,0.0,0.42,0.0
translation_en-es,translation,competence_threat,flan-t5-large,6,0.405,0.055,0.42,-0.015
translation_en-es,translation,inconsistency,flan-t5-large,6,0.395,0.035,0.42,-0.025
translation_en-es,translation,negative_original,flan-t5-large,30,0.367,0.041,0.42,-0.053
translation_en-es,translation,regret,flan-t5-large,6,0.45,0.02,0.42,0.03
translation_en-es,translation,social_comparison,flan-t5-large,6,0.315,0.005,0.42,-0.105
translation_en-es,translation,urgency,flan-t5-large,6,0.395,0.035,0.42,-0.025
translation_en-fr,translation,baseline,flan-t5-large,3,0.4,0.0,0.4,0.0
translation_en-fr,translation,competence_threat,flan-t5-large,6,0.415,0.015,0.4,0.015
translation_en-fr,translation,inconsistency,flan-t5-large,6,0.435,0.015,0.4,0.035
translation_en-fr,translation,negative_original,flan-t5-large,30,0.382,0.022716,0.4,-0.018
translation_en-fr,translation,regret,flan-t5-large,6,0.385,0.015,0.4,-0.015
translation_en-fr,translation,social_comparison,flan-t5-large,6,0.345,0.005,0.4,-0.055
translation_en-fr,translation,urgency,flan-t5-large,6,0.395,0.015,0.4,-0.005
word_in_context,lexical_semantics,baseline,flan-t5-large,3,0.59,0.0,0.59,0.0
word_in_context,lexical_semantics,competence_threat,flan-t5-large,6,0.515,0.045,0.59,-0.075
word_in_context,lexical_semantics,inconsistency,flan-t5-large,6,0.53,0.02,0.59,-0.06
word_in_context,lexical_semantics,negative_original,flan-t5-large,30,0.585,0.018574,0.59,-0.005
word_in_context,lexical_semantics,regret,flan-t5-large,6,0.55,0.01,0.59,-0.04
word_in_context,lexical_semantics,social_comparison,flan-t5-large,6,0.525,0.035,0.59,-0.065
word_in_context,lexical_semantics,urgency,flan-t5-large,6,0.525,0.025,0.59,-0.065
