task,model,legacy_pnum,n_runs,n_seeds,seeds,mean_score,baseline_score,delta_vs_baseline
second_word_letter,flan-t5-large,7,3,3,42 | 43 | 44,0.96,1.0,-0.04
second_word_letter,flan-t5-large,8,3,3,42 | 43 | 44,0.97,1.0,-0.03
second_word_letter,flan-t5-large,9,3,3,42 | 43 | 44,0.98,1.0,-0.02
second_word_letter,flan-t5-large,10,3,3,42 | 43 | 44,0.89,1.0,-0.11
sentence_similarity,flan-t5-large,1,3,3,42 | 43 | 44,0.57,0.56,0.01
sentence_similarity,flan-t5-large,2,3,3,42 | 43 | 44,0.56,0.56,0.0
sentence_similarity,flan-t5-large,3,3,3,42 | 43 | 44,0.56,0.56,0.0
sentence_similarity,flan-t5-large,4,3,3,42 | 43 | 44,0.58,0.56,0.02
sentence_similarity,flan-t5-large,5,3,3,42 | 43 | 44,0.58,0.56,0.02
sentence_similarity,flan-t5-large,6,3,3,42 | 43 | 44,0.59,0.56,0.03
sentence_similarity,flan-t5-large,7,3,3,42 | 43 | 44,0.58,0.56,0.02
sentence_similarity,flan-t5-large,8,3,3,42 | 43 | 44,0.56,0.56,0.0
sentence_similarity,flan-t5-large,9,3,3,42 | 43 | 44,0.59,0.56,0.03
sentence_similarity,flan-t5-large,10,3,3,42 | 43 | 44,0.58,0.56,0.02
sentiment,flan-t5-large,1,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,2,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,3,3,3,42 | 43 | 44,0.95,0.93,0.02
sentiment,flan-t5-large,4,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,5,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,6,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,7,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,8,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,9,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,10,3,3,42 | 43 | 44,0.93,0.93,0.0
singular_to_plural,flan-t5-large,1,3,3,42 | 43 | 44,0.12,0.38,-0.26
singular_to_plural,flan-t5-large,2,3,3,42 | 43 | 44,0.15,0.38,-0.23
singular_to_plural,flan-t5-large,3,3,3,42 | 43 | 44,0.11,0.38,-0.27
singular_to_plural,flan-t5-large,4,3,3,42 | 43 | 44,0.12,0.38,-0.26
singular_to_plural,flan-t5-large,5,3,3,42 | 43 | 44,0.28,0.38,-0.1
singular_to_plural,flan-t5-large,6,3,3,42 | 43 | 44,0.19,0.38,-0.19
singular_to_plural,flan-t5-large,7,3,3,42 | 43 | 44,0.11,0.38,-0.27
singular_to_plural,flan-t5-large,8,3,3,42 | 43 | 44,0.09,0.38,-0.29
singular_to_plural,flan-t5-large,9,3,3,42 | 43 | 44,0.06,0.38,-0.32
singular_to_plural,flan-t5-large,10,3,3,42 | 43 | 44,0.05,0.38,-0.33
sum,flan-t5-large,1,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,2,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,3,3,3,42 | 43 | 44,0.03,0.03,0.0
sum,flan-t5-large,4,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,5,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,6,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,7,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,8,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,9,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,10,3,3,42 | 43 | 44,0.02,0.03,-0.01
synonyms,flan-t5-large,1,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,2,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,3,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,4,3,3,42 | 43 | 44,0.04,0.06,-0.02
synonyms,flan-t5-large,5,3,3,42 | 43 | 44,0.04,0.06,-0.02
synonyms,flan-t5-large,6,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,7,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,8,3,3,42 | 43 | 44,0.05,0.06,-0.01
synonyms,flan-t5-large,9,3,3,42 | 43 | 44,0.04,0.06,-0.02
synonyms,flan-t5-large,10,3,3,42 | 43 | 44,0.06,0.06,0.0
taxonomy_animal,flan-t5-large,1,3,3,42 | 43 | 44,0.12,0.12,0.0
taxonomy_animal,flan-t5-large,2,3,3,42 | 43 | 44,0.14,0.12,0.02
taxonomy_animal,flan-t5-large,3,3,3,42 | 43 | 44,0.07,0.12,-0.05
taxonomy_animal,flan-t5-large,4,3,3,42 | 43 | 44,0.07,0.12,-0.05
taxonomy_animal,flan-t5-large,5,3,3,42 | 43 | 44,0.12,0.12,0.0
taxonomy_animal,flan-t5-large,6,3,3,42 | 43 | 44,0.11,0.12,-0.01
taxonomy_animal,flan-t5-large,7,3,3,42 | 43 | 44,0.11,0.12,-0.01
taxonomy_animal,flan-t5-large,8,3,3,42 | 43 | 44,0.09,0.12,-0.03
taxonomy_animal,flan-t5-large,9,3,3,42 | 43 | 44,0.13,0.12,0.01
taxonomy_animal,flan-t5-large,10,3,3,42 | 43 | 44,0.08,0.12,-0.04
translation_en-de,flan-t5-large,1,3,3,42 | 43 | 44,0.17,0.15,0.02
translation_en-de,flan-t5-large,2,3,3,42 | 43 | 44,0.19,0.15,0.04
translation_en-de,flan-t5-large,3,3,3,42 | 43 | 44,0.18,0.15,0.03
translation_en-de,flan-t5-large,4,3,3,42 | 43 | 44,0.18,0.15,0.03
translation_en-de,flan-t5-large,5,3,3,42 | 43 | 44,0.22,0.15,0.07
translation_en-de,flan-t5-large,6,3,3,42 | 43 | 44,0.2,0.15,0.05
translation_en-de,flan-t5-large,7,3,3,42 | 43 | 44,0.19,0.15,0.04
translation_en-de,flan-t5-large,8,3,3,42 | 43 | 44,0.17,0.15,0.02
translation_en-de,flan-t5-large,9,3,3,42 | 43 | 44,0.18,0.15,0.03
translation_en-de,flan-t5-large,10,3,3,42 | 43 | 44,0.17,0.15,0.02
translation_en-es,flan-t5-large,1,3,3,42 | 43 | 44,0.4,0.42,-0.02
translation_en-es,flan-t5-large,2,3,3,42 | 43 | 44,0.34,0.42,-0.08
translation_en-es,flan-t5-large,3,3,3,42 | 43 | 44,0.34,0.42,-0.08
translation_en-es,flan-t5-large,4,3,3,42 | 43 | 44,0.41,0.42,-0.01
translation_en-es,flan-t5-large,5,3,3,42 | 43 | 44,0.39,0.42,-0.03
translation_en-es,flan-t5-large,6,3,3,42 | 43 | 44,0.4,0.42,-0.02
translation_en-es,flan-t5-large,7,3,3,42 | 43 | 44,0.35,0.42,-0.07
translation_en-es,flan-t5-large,8,3,3,42 | 43 | 44,0.27,0.42,-0.15
translation_en-es,flan-t5-large,9,3,3,42 | 43 | 44,0.4,0.42,-0.02
translation_en-es,flan-t5-large,10,3,3,42 | 43 | 44,0.37,0.42,-0.05
translation_en-fr,flan-t5-large,1,3,3,42 | 43 | 44,0.41,0.4,0.01
translation_en-fr,flan-t5-large,2,3,3,42 | 43 | 44,0.34,0.4,-0.06
translation_en-fr,flan-t5-large,3,3,3,42 | 43 | 44,0.38,0.4,-0.02
translation_en-fr,flan-t5-large,4,3,3,42 | 43 | 44,0.37,0.4,-0.03
translation_en-fr,flan-t5-large,5,3,3,42 | 43 | 44,0.41,0.4,0.01
translation_en-fr,flan-t5-large,6,3,3,42 | 43 | 44,0.4,0.4,0.0
translation_en-fr,flan-t5-large,7,3,3,42 | 43 | 44,0.35,0.4,-0.05
translation_en-fr,flan-t5-large,8,3,3,42 | 43 | 44,0.38,0.4,-0.02
translation_en-fr,flan-t5-large,9,3,3,42 | 43 | 44,0.38,0.4,-0.02
translation_en-fr,flan-t5-large,10,3,3,42 | 43 | 44,0.4,0.4,0.0
word_in_context,flan-t5-large,1,3,3,42 | 43 | 44,0.58,0.59,-0.01
word_in_context,flan-t5-large,2,3,3,42 | 43 | 44,0.59,0.59,0.0
word_in_context,flan-t5-large,3,3,3,42 | 43 | 44,0.61,0.59,0.02
word_in_context,flan-t5-large,4,3,3,42 | 43 | 44,0.55,0.59,-0.04
word_in_context,flan-t5-large,5,3,3,42 | 43 | 44,0.6,0.59,0.01
word_in_context,flan-t5-large,6,3,3,42 | 43 | 44,0.58,0.59,-0.01
word_in_context,flan-t5-large,7,3,3,42 | 43 | 44,0.58,0.59,-0.01
word_in_context,flan-t5-large,8,3,3,42 | 43 | 44,0.59,0.59,0.0
word_in_context,flan-t5-large,9,3,3,42 | 43 | 44,0.56,0.59,-0.03
word_in_context,flan-t5-large,10,3,3,42 | 43 | 44,0.61,0.59,0.02
