task,task_family,stimulus_group,delta_vs_baseline,negative_original_delta_vs_baseline,delta_h3_minus_negative_original,direction
translation_en-es,translation,competence_threat,-0.015,-0.053,0.038,H3_better_than_negative_original
active_to_passive,rewriting_transformation,competence_threat,0.01,-0.027,0.037,H3_better_than_negative_original
active_to_passive,rewriting_transformation,inconsistency,0.01,-0.027,0.037,H3_better_than_negative_original
translation_en-fr,translation,social_comparison,-0.055,-0.018,-0.037,H3_worse_than_negative_original
translation_en-de,translation,regret,0.0,0.035,-0.035,H3_worse_than_negative_original
word_in_context,lexical_semantics,regret,-0.04,-0.005,-0.035,H3_worse_than_negative_original
translation_en-fr,translation,competence_threat,0.015,-0.018,0.033,H3_better_than_negative_original
active_to_passive,rewriting_transformation,social_comparison,0.005,-0.027,0.032,H3_better_than_negative_original
active_to_passive,rewriting_transformation,urgency,0.005,-0.027,0.032,H3_better_than_negative_original
orthography_starts_with,string_filtering,social_comparison,0.07,0.038,0.032,H3_better_than_negative_original
informal_to_formal,rewriting_transformation,inconsistency,-0.031181,0.0,-0.031181,H3_worse_than_negative_original
translation_en-de,translation,inconsistency,0.005,0.035,-0.03,H3_worse_than_negative_original
translation_en-de,translation,urgency,0.005,0.035,-0.03,H3_worse_than_negative_original
negation,rewriting_transformation,social_comparison,0.03,0.001,0.029,H3_better_than_negative_original
second_word_letter,string_extraction,social_comparison,-0.02,-0.049,0.029,H3_better_than_negative_original
translation_en-es,translation,inconsistency,-0.025,-0.053,0.028,H3_better_than_negative_original
translation_en-es,translation,urgency,-0.025,-0.053,0.028,H3_better_than_negative_original
cause_and_effect,causal_reasoning,inconsistency,-0.106666,-0.130666,0.024,H3_better_than_negative_original
larger_animal,comparative_reasoning,competence_threat,-0.015,-0.038,0.023,H3_better_than_negative_original
larger_animal,comparative_reasoning,social_comparison,-0.06,-0.038,-0.022,H3_worse_than_negative_original
diff,numerical_reasoning,competence_threat,0.0,-0.021,0.021,H3_better_than_negative_original
taxonomy_animal,semantic_filtering,inconsistency,-0.035,-0.016,-0.019,H3_worse_than_negative_original
singular_to_plural,morphology,social_comparison,-0.235,-0.252,0.017,H3_better_than_negative_original
diff,numerical_reasoning,inconsistency,-0.005,-0.021,0.016,H3_better_than_negative_original
taxonomy_animal,semantic_filtering,social_comparison,0.0,-0.016,0.016,H3_better_than_negative_original
negation,rewriting_transformation,urgency,0.015,0.001,0.014,H3_better_than_negative_original
taxonomy_animal,semantic_filtering,competence_threat,-0.03,-0.016,-0.014,H3_worse_than_negative_original
larger_animal,comparative_reasoning,inconsistency,-0.025,-0.038,0.013,H3_better_than_negative_original
translation_en-fr,translation,urgency,-0.005,-0.018,0.013,H3_better_than_negative_original
active_to_passive,rewriting_transformation,regret,-0.015,-0.027,0.012,H3_better_than_negative_original
diff,numerical_reasoning,social_comparison,-0.01,-0.021,0.011,H3_better_than_negative_original
cause_and_effect,causal_reasoning,regret,-0.12,-0.130666,0.010666,H3_better_than_negative_original
antonyms,lexical_semantics,competence_threat,-0.005,-0.015,0.01,H3_better_than_negative_original
antonyms,lexical_semantics,urgency,-0.025,-0.015,-0.01,H3_worse_than_negative_original
first_word_letter,string_extraction,competence_threat,0.0,-0.01,0.01,H3_better_than_negative_original
first_word_letter,string_extraction,regret,0.0,-0.01,0.01,H3_better_than_negative_original
first_word_letter,string_extraction,social_comparison,0.0,-0.01,0.01,H3_better_than_negative_original
first_word_letter,string_extraction,urgency,0.0,-0.01,0.01,H3_better_than_negative_original
sentence_similarity,semantic_similarity,inconsistency,0.025,0.015,0.01,H3_better_than_negative_original
sentence_similarity,semantic_similarity,regret,0.005,0.015,-0.01,H3_worse_than_negative_original
sentence_similarity,semantic_similarity,social_comparison,0.005,0.015,-0.01,H3_worse_than_negative_original
translation_en-de,translation,social_comparison,0.025,0.035,-0.01,H3_worse_than_negative_original
larger_animal,comparative_reasoning,urgency,-0.045,-0.038,-0.007,H3_worse_than_negative_original
diff,numerical_reasoning,regret,-0.015,-0.021,0.006,H3_better_than_negative_original
diff,numerical_reasoning,urgency,-0.015,-0.021,0.006,H3_better_than_negative_original
second_word_letter,string_extraction,competence_threat,-0.055,-0.049,-0.006,H3_worse_than_negative_original
taxonomy_animal,semantic_filtering,regret,-0.01,-0.016,0.006,H3_better_than_negative_original
informal_to_formal,rewriting_transformation,competence_threat,0.005555,0.0,0.005555,H3_better_than_negative_original
antonyms,lexical_semantics,inconsistency,-0.02,-0.015,-0.005,H3_worse_than_negative_original
antonyms,lexical_semantics,social_comparison,-0.01,-0.015,0.005,H3_better_than_negative_original
first_word_letter,string_extraction,inconsistency,-0.005,-0.01,0.005,H3_better_than_negative_original
sentence_similarity,semantic_similarity,urgency,0.01,0.015,-0.005,H3_worse_than_negative_original
sentiment,sentiment_classification,competence_threat,0.0,0.005,-0.005,H3_worse_than_negative_original
sentiment,sentiment_classification,regret,0.0,0.005,-0.005,H3_worse_than_negative_original
sentiment,sentiment_classification,social_comparison,0.0,0.005,-0.005,H3_worse_than_negative_original
sentiment,sentiment_classification,urgency,0.0,0.005,-0.005,H3_worse_than_negative_original
negation,rewriting_transformation,competence_threat,0.005,0.001,0.004,H3_better_than_negative_original
sum,numerical_reasoning,inconsistency,-0.005,-0.009,0.004,H3_better_than_negative_original
synonyms,lexical_semantics,competence_threat,-0.015,-0.012,-0.003,H3_worse_than_negative_original
synonyms,lexical_semantics,inconsistency,-0.015,-0.012,-0.003,H3_worse_than_negative_original
synonyms,lexical_semantics,social_comparison,-0.015,-0.012,-0.003,H3_worse_than_negative_original
translation_en-fr,translation,regret,-0.015,-0.018,0.003,H3_better_than_negative_original
larger_animal,comparative_reasoning,regret,-0.04,-0.038,-0.002,H3_worse_than_negative_original
synonyms,lexical_semantics,regret,-0.01,-0.012,0.002,H3_better_than_negative_original
synonyms,lexical_semantics,urgency,-0.01,-0.012,0.002,H3_better_than_negative_original
informal_to_formal,rewriting_transformation,regret,-0.001852,0.0,-0.001852,H3_worse_than_negative_original
informal_to_formal,rewriting_transformation,social_comparison,-0.001852,0.0,-0.001852,H3_worse_than_negative_original
negation,rewriting_transformation,inconsistency,0.0,0.001,-0.001,H3_worse_than_negative_original
negation,rewriting_transformation,regret,0.0,0.001,-0.001,H3_worse_than_negative_original
sum,numerical_reasoning,competence_threat,-0.01,-0.009,-0.001,H3_worse_than_negative_original
sum,numerical_reasoning,regret,-0.01,-0.009,-0.001,H3_worse_than_negative_original
sum,numerical_reasoning,social_comparison,-0.01,-0.009,-0.001,H3_worse_than_negative_original
sum,numerical_reasoning,urgency,-0.01,-0.009,-0.001,H3_worse_than_negative_original
taxonomy_animal,semantic_filtering,urgency,-0.015,-0.016,0.001,H3_better_than_negative_original
antonyms,lexical_semantics,regret,-0.015,-0.015,0.0,equal
common_concept,semantic_abstraction,competence_threat,0.0,0.0,0.0,equal
common_concept,semantic_abstraction,inconsistency,0.0,0.0,0.0,equal
common_concept,semantic_abstraction,regret,0.0,0.0,0.0,equal
common_concept,semantic_abstraction,social_comparison,0.0,0.0,0.0,equal
common_concept,semantic_abstraction,urgency,0.0,0.0,0.0,equal
informal_to_formal,rewriting_transformation,urgency,0.0,0.0,0.0,equal
letters_list,string_transformation,competence_threat,0.0,0.0,0.0,equal
letters_list,string_transformation,inconsistency,0.0,0.0,0.0,equal
letters_list,string_transformation,regret,0.0,0.0,0.0,equal
letters_list,string_transformation,social_comparison,0.0,0.0,0.0,equal
letters_list,string_transformation,urgency,0.0,0.0,0.0,equal
num_to_verbal,numerical_verbalization,competence_threat,0.0,0.0,0.0,equal
num_to_verbal,numerical_verbalization,inconsistency,0.0,0.0,0.0,equal
num_to_verbal,numerical_verbalization,regret,0.0,0.0,0.0,equal
num_to_verbal,numerical_verbalization,social_comparison,0.0,0.0,0.0,equal
num_to_verbal,numerical_verbalization,urgency,0.0,0.0,0.0,equal
sentence_similarity,semantic_similarity,competence_threat,0.015,0.015,0.0,equal
sentiment,sentiment_classification,inconsistency,0.005,0.005,0.0,equal
translation_en-de,translation,competence_threat,0.035,0.035,0.0,equal
