task,task_family,model,stimulus_group,mean_score,delta_vs_baseline,negative_original_delta_vs_baseline,delta_h3_minus_negative_original
negation,rewriting_transformation,flan-t5-large,urgency,0.015,0.015,0.001,0.014
num_to_verbal,numerical_verbalization,flan-t5-large,competence_threat,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,flan-t5-large,inconsistency,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,flan-t5-large,regret,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,flan-t5-large,social_comparison,0.0,0.0,0.0,0.0
num_to_verbal,numerical_verbalization,flan-t5-large,urgency,0.0,0.0,0.0,0.0
orthography_starts_with,string_filtering,flan-t5-large,competence_threat,0.13,0.11,0.038,0.072
orthography_starts_with,string_filtering,flan-t5-large,inconsistency,0.18,0.16,0.038,0.122
orthography_starts_with,string_filtering,flan-t5-large,regret,0.1,0.08,0.038,0.042
orthography_starts_with,string_filtering,flan-t5-large,social_comparison,0.09,0.07,0.038,0.032
orthography_starts_with,string_filtering,flan-t5-large,urgency,0.1,0.08,0.038,0.042
rhymes,lexical_generation,flan-t5-large,competence_threat,0.165,-0.025,0.075,-0.1
rhymes,lexical_generation,flan-t5-large,inconsistency,0.1,-0.09,0.075,-0.165
rhymes,lexical_generation,flan-t5-large,regret,0.15,-0.04,0.075,-0.115
rhymes,lexical_generation,flan-t5-large,social_comparison,0.185,-0.005,0.075,-0.08
rhymes,lexical_generation,flan-t5-large,urgency,0.22,0.03,0.075,-0.045
second_word_letter,string_extraction,flan-t5-large,competence_threat,0.945,-0.055,-0.049,-0.006
second_word_letter,string_extraction,flan-t5-large,inconsistency,0.99,-0.01,-0.049,0.039
second_word_letter,string_extraction,flan-t5-large,regret,0.99,-0.01,-0.049,0.039
second_word_letter,string_extraction,flan-t5-large,social_comparison,0.98,-0.02,-0.049,0.029
second_word_letter,string_extraction,flan-t5-large,urgency,0.995,-0.005,-0.049,0.044
sentence_similarity,semantic_similarity,flan-t5-large,competence_threat,0.575,0.015,0.015,0.0
sentence_similarity,semantic_similarity,flan-t5-large,inconsistency,0.585,0.025,0.015,0.01
sentence_similarity,semantic_similarity,flan-t5-large,regret,0.565,0.005,0.015,-0.01
sentence_similarity,semantic_similarity,flan-t5-large,social_comparison,0.565,0.005,0.015,-0.01
sentence_similarity,semantic_similarity,flan-t5-large,urgency,0.57,0.01,0.015,-0.005
sentiment,sentiment_classification,flan-t5-large,competence_threat,0.93,0.0,0.005,-0.005
sentiment,sentiment_classification,flan-t5-large,inconsistency,0.935,0.005,0.005,0.0
sentiment,sentiment_classification,flan-t5-large,regret,0.93,0.0,0.005,-0.005
sentiment,sentiment_classification,flan-t5-large,social_comparison,0.93,0.0,0.005,-0.005
sentiment,sentiment_classification,flan-t5-large,urgency,0.93,0.0,0.005,-0.005
singular_to_plural,morphology,flan-t5-large,competence_threat,0.305,-0.075,-0.252,0.177
singular_to_plural,morphology,flan-t5-large,inconsistency,0.39,0.01,-0.252,0.262
singular_to_plural,morphology,flan-t5-large,regret,0.09,-0.29,-0.252,-0.038
singular_to_plural,morphology,flan-t5-large,social_comparison,0.145,-0.235,-0.252,0.017
singular_to_plural,morphology,flan-t5-large,urgency,0.18,-0.2,-0.252,0.052
sum,numerical_reasoning,flan-t5-large,competence_threat,0.02,-0.01,-0.009,-0.001
sum,numerical_reasoning,flan-t5-large,inconsistency,0.025,-0.005,-0.009,0.004
sum,numerical_reasoning,flan-t5-large,regret,0.02,-0.01,-0.009,-0.001
sum,numerical_reasoning,flan-t5-large,social_comparison,0.02,-0.01,-0.009,-0.001
sum,numerical_reasoning,flan-t5-large,urgency,0.02,-0.01,-0.009,-0.001
synonyms,lexical_semantics,flan-t5-large,competence_threat,0.045,-0.015,-0.012,-0.003
synonyms,lexical_semantics,flan-t5-large,inconsistency,0.045,-0.015,-0.012,-0.003
synonyms,lexical_semantics,flan-t5-large,regret,0.05,-0.01,-0.012,0.002
synonyms,lexical_semantics,flan-t5-large,social_comparison,0.045,-0.015,-0.012,-0.003
synonyms,lexical_semantics,flan-t5-large,urgency,0.05,-0.01,-0.012,0.002
taxonomy_animal,semantic_filtering,flan-t5-large,competence_threat,0.09,-0.03,-0.016,-0.014
taxonomy_animal,semantic_filtering,flan-t5-large,inconsistency,0.085,-0.035,-0.016,-0.019
taxonomy_animal,semantic_filtering,flan-t5-large,regret,0.11,-0.01,-0.016,0.006
taxonomy_animal,semantic_filtering,flan-t5-large,social_comparison,0.12,0.0,-0.016,0.016
taxonomy_animal,semantic_filtering,flan-t5-large,urgency,0.105,-0.015,-0.016,0.001
translation_en-de,translation,flan-t5-large,competence_threat,0.185,0.035,0.035,0.0
translation_en-de,translation,flan-t5-large,inconsistency,0.155,0.005,0.035,-0.03
translation_en-de,translation,flan-t5-large,regret,0.15,0.0,0.035,-0.035
translation_en-de,translation,flan-t5-large,social_comparison,0.175,0.025,0.035,-0.01
translation_en-de,translation,flan-t5-large,urgency,0.155,0.005,0.035,-0.03
translation_en-es,translation,flan-t5-large,competence_threat,0.405,-0.015,-0.053,0.038
translation_en-es,translation,flan-t5-large,inconsistency,0.395,-0.025,-0.053,0.028
translation_en-es,translation,flan-t5-large,regret,0.45,0.03,-0.053,0.083
translation_en-es,translation,flan-t5-large,social_comparison,0.315,-0.105,-0.053,-0.052
translation_en-es,translation,flan-t5-large,urgency,0.395,-0.025,-0.053,0.028
translation_en-fr,translation,flan-t5-large,competence_threat,0.415,0.015,-0.018,0.033
translation_en-fr,translation,flan-t5-large,inconsistency,0.435,0.035,-0.018,0.053
translation_en-fr,translation,flan-t5-large,regret,0.385,-0.015,-0.018,0.003
translation_en-fr,translation,flan-t5-large,social_comparison,0.345,-0.055,-0.018,-0.037
translation_en-fr,translation,flan-t5-large,urgency,0.395,-0.005,-0.018,0.013
word_in_context,lexical_semantics,flan-t5-large,competence_threat,0.515,-0.075,-0.005,-0.07
word_in_context,lexical_semantics,flan-t5-large,inconsistency,0.53,-0.06,-0.005,-0.055
word_in_context,lexical_semantics,flan-t5-large,regret,0.55,-0.04,-0.005,-0.035
word_in_context,lexical_semantics,flan-t5-large,social_comparison,0.525,-0.065,-0.005,-0.06
word_in_context,lexical_semantics,flan-t5-large,urgency,0.525,-0.065,-0.005,-0.06
