task,pair,seed,negative_control_score,neutral_score,positive_score,ambiguous_score,delta_neg_minus_neutral,delta_neg_minus_positive,delta_neg_minus_ambiguous
negation,2,44,0.01,0.0,0.0,0.0,0.01,0.01,0.01
negation,3,42,0.0,0.0,0.03,0.0,0.0,-0.03,0.0
negation,3,43,0.0,0.0,0.03,0.0,0.0,-0.03,0.0
negation,3,44,0.0,0.0,0.03,0.0,0.0,-0.03,0.0
negation,4,42,0.03,0.0,0.03,0.01,0.03,0.0,0.019999999999999997
negation,4,43,0.03,0.0,0.03,0.01,0.03,0.0,0.019999999999999997
negation,4,44,0.03,0.0,0.03,0.01,0.03,0.0,0.019999999999999997
num_to_verbal,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,3,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,4,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,4,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orthography_starts_with,1,42,0.18,0.09,0.12,0.13,0.09,0.06,0.04999999999999999
orthography_starts_with,1,43,0.18,0.09,0.12,0.13,0.09,0.06,0.04999999999999999
orthography_starts_with,1,44,0.18,0.09,0.12,0.13,0.09,0.06,0.04999999999999999
orthography_starts_with,2,42,0.1,0.18,0.12,0.12,-0.07999999999999999,-0.01999999999999999,-0.01999999999999999
orthography_starts_with,2,43,0.1,0.18,0.12,0.12,-0.07999999999999999,-0.01999999999999999,-0.01999999999999999
orthography_starts_with,2,44,0.1,0.18,0.12,0.12,-0.07999999999999999,-0.01999999999999999,-0.01999999999999999
orthography_starts_with,3,42,0.18,0.09,0.15,0.12,0.09,0.03,0.06
orthography_starts_with,3,43,0.18,0.09,0.15,0.12,0.09,0.03,0.06
orthography_starts_with,3,44,0.18,0.09,0.15,0.12,0.09,0.03,0.06
orthography_starts_with,4,42,0.15,0.12,0.09,0.11,0.03,0.06,0.039999999999999994
orthography_starts_with,4,43,0.15,0.12,0.09,0.11,0.03,0.06,0.039999999999999994
orthography_starts_with,4,44,0.15,0.12,0.09,0.11,0.03,0.06,0.039999999999999994
rhymes,1,42,0.13,0.17,0.17,0.16,-0.04000000000000001,-0.04000000000000001,-0.03
rhymes,1,43,0.13,0.17,0.17,0.16,-0.04000000000000001,-0.04000000000000001,-0.03
rhymes,1,44,0.13,0.17,0.17,0.16,-0.04000000000000001,-0.04000000000000001,-0.03
rhymes,2,42,0.2,0.15,0.21,0.16,0.05000000000000002,-0.009999999999999981,0.04000000000000001
rhymes,2,43,0.2,0.15,0.21,0.16,0.05000000000000002,-0.009999999999999981,0.04000000000000001
rhymes,2,44,0.2,0.15,0.21,0.16,0.05000000000000002,-0.009999999999999981,0.04000000000000001
rhymes,3,42,0.14,0.16,0.25,0.14,-0.01999999999999999,-0.10999999999999999,0.0
rhymes,3,43,0.14,0.16,0.25,0.14,-0.01999999999999999,-0.10999999999999999,0.0
rhymes,3,44,0.14,0.16,0.25,0.14,-0.01999999999999999,-0.10999999999999999,0.0
rhymes,4,42,0.13,0.15,0.17,0.16,-0.01999999999999999,-0.04000000000000001,-0.03
rhymes,4,43,0.13,0.15,0.17,0.16,-0.01999999999999999,-0.04000000000000001,-0.03
rhymes,4,44,0.13,0.15,0.17,0.16,-0.01999999999999999,-0.04000000000000001,-0.03
second_word_letter,1,42,0.89,1.0,1.0,1.0,-0.10999999999999999,-0.10999999999999999,-0.10999999999999999
second_word_letter,1,43,0.89,1.0,1.0,1.0,-0.10999999999999999,-0.10999999999999999,-0.10999999999999999
second_word_letter,1,44,0.89,1.0,1.0,1.0,-0.10999999999999999,-0.10999999999999999,-0.10999999999999999
second_word_letter,2,42,1.0,1.0,1.0,1.0,0.0,0.0,0.0
second_word_letter,2,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0
second_word_letter,2,44,1.0,1.0,1.0,1.0,0.0,0.0,0.0
second_word_letter,3,42,0.99,1.0,0.95,1.0,-0.010000000000000009,0.040000000000000036,-0.010000000000000009
second_word_letter,3,43,0.99,1.0,0.95,1.0,-0.010000000000000009,0.040000000000000036,-0.010000000000000009
second_word_letter,3,44,0.99,1.0,0.95,1.0,-0.010000000000000009,0.040000000000000036,-0.010000000000000009
second_word_letter,4,42,0.97,1.0,1.0,1.0,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027
second_word_letter,4,43,0.97,1.0,1.0,1.0,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027
second_word_letter,4,44,0.97,1.0,1.0,1.0,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027
sentence_similarity,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,3,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,3,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,4,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,4,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,1,42,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,1,43,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,1,44,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,2,42,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,2,43,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,2,44,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,3,42,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,3,43,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,3,44,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,4,42,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,4,43,0.93,0.93,0.93,0.93,0.0,0.0,0.0
sentiment,4,44,0.93,0.93,0.93,0.93,0.0,0.0,0.0
singular_to_plural,1,42,0.38,0.36,0.29,0.17,0.020000000000000018,0.09000000000000002,0.21
singular_to_plural,1,43,0.38,0.36,0.29,0.17,0.020000000000000018,0.09000000000000002,0.21
singular_to_plural,1,44,0.38,0.36,0.29,0.17,0.020000000000000018,0.09000000000000002,0.21
singular_to_plural,2,42,0.22,0.36,0.28,0.38,-0.13999999999999999,-0.060000000000000026,-0.16
singular_to_plural,2,43,0.22,0.36,0.28,0.38,-0.13999999999999999,-0.060000000000000026,-0.16
singular_to_plural,2,44,0.22,0.36,0.28,0.38,-0.13999999999999999,-0.060000000000000026,-0.16
singular_to_plural,3,42,0.09,0.42,0.35,0.21,-0.32999999999999996,-0.26,-0.12
singular_to_plural,3,43,0.09,0.42,0.35,0.21,-0.32999999999999996,-0.26,-0.12
singular_to_plural,3,44,0.09,0.42,0.35,0.21,-0.32999999999999996,-0.26,-0.12
singular_to_plural,4,42,0.12,0.24,0.3,0.3,-0.12,-0.18,-0.18
singular_to_plural,4,43,0.12,0.24,0.3,0.3,-0.12,-0.18,-0.18
singular_to_plural,4,44,0.12,0.24,0.3,0.3,-0.12,-0.18,-0.18
sum,1,42,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,1,43,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,1,44,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,2,42,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,2,43,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,2,44,0.02,0.02,0.03,0.02,0.0,-0.009999999999999998,0.0
sum,3,42,0.02,0.02,0.02,0.02,0.0,0.0,0.0
sum,3,43,0.02,0.02,0.02,0.02,0.0,0.0,0.0
sum,3,44,0.02,0.02,0.02,0.02,0.0,0.0,0.0
sum,4,42,0.02,0.02,0.02,0.03,0.0,0.0,-0.009999999999999998
sum,4,43,0.02,0.02,0.02,0.03,0.0,0.0,-0.009999999999999998
sum,4,44,0.02,0.02,0.02,0.03,0.0,0.0,-0.009999999999999998
synonyms,1,42,0.04,0.05,0.05,0.05,-0.010000000000000002,-0.010000000000000002,-0.010000000000000002
synonyms,1,43,0.04,0.05,0.05,0.05,-0.010000000000000002,-0.010000000000000002,-0.010000000000000002
synonyms,1,44,0.04,0.05,0.05,0.05,-0.010000000000000002,-0.010000000000000002,-0.010000000000000002
synonyms,2,42,0.05,0.05,0.05,0.05,0.0,0.0,0.0
synonyms,2,43,0.05,0.05,0.05,0.05,0.0,0.0,0.0
synonyms,2,44,0.05,0.05,0.05,0.05,0.0,0.0,0.0
synonyms,3,42,0.04,0.04,0.05,0.06,0.0,-0.010000000000000002,-0.019999999999999997
synonyms,3,43,0.04,0.04,0.05,0.06,0.0,-0.010000000000000002,-0.019999999999999997
synonyms,3,44,0.04,0.04,0.05,0.06,0.0,-0.010000000000000002,-0.019999999999999997
synonyms,4,42,0.05,0.06,0.05,0.05,-0.009999999999999995,0.0,0.0
synonyms,4,43,0.05,0.06,0.05,0.05,-0.009999999999999995,0.0,0.0
synonyms,4,44,0.05,0.06,0.05,0.05,-0.009999999999999995,0.0,0.0
taxonomy_animal,1,42,0.1,0.11,0.11,0.12,-0.009999999999999995,-0.009999999999999995,-0.01999999999999999
taxonomy_animal,1,43,0.1,0.11,0.11,0.12,-0.009999999999999995,-0.009999999999999995,-0.01999999999999999
taxonomy_animal,1,44,0.1,0.11,0.11,0.12,-0.009999999999999995,-0.009999999999999995,-0.01999999999999999
taxonomy_animal,2,42,0.08,0.0,0.13,0.15,0.08,-0.05,-0.06999999999999999
taxonomy_animal,2,43,0.08,0.0,0.13,0.15,0.08,-0.05,-0.06999999999999999
taxonomy_animal,2,44,0.08,0.0,0.13,0.15,0.08,-0.05,-0.06999999999999999
taxonomy_animal,3,42,0.07,0.09,0.16,0.08,-0.01999999999999999,-0.09,-0.009999999999999995
taxonomy_animal,3,43,0.07,0.09,0.16,0.08,-0.01999999999999999,-0.09,-0.009999999999999995
taxonomy_animal,3,44,0.07,0.09,0.16,0.08,-0.01999999999999999,-0.09,-0.009999999999999995
taxonomy_animal,4,42,0.09,0.08,0.15,0.04,0.009999999999999995,-0.06,0.049999999999999996
taxonomy_animal,4,43,0.09,0.08,0.15,0.04,0.009999999999999995,-0.06,0.049999999999999996
taxonomy_animal,4,44,0.09,0.08,0.15,0.04,0.009999999999999995,-0.06,0.049999999999999996
translation_en-de,1,42,0.19,0.18,0.17,0.16,0.010000000000000009,0.01999999999999999,0.03
translation_en-de,1,43,0.19,0.18,0.17,0.16,0.010000000000000009,0.01999999999999999,0.03
translation_en-de,1,44,0.19,0.18,0.17,0.16,0.010000000000000009,0.01999999999999999,0.03
translation_en-de,2,42,0.17,0.2,0.16,0.17,-0.03,0.010000000000000009,0.0
translation_en-de,2,43,0.17,0.2,0.16,0.17,-0.03,0.010000000000000009,0.0
translation_en-de,2,44,0.17,0.2,0.16,0.17,-0.03,0.010000000000000009,0.0
translation_en-de,3,42,0.17,0.18,0.19,0.18,-0.009999999999999981,-0.01999999999999999,-0.009999999999999981
translation_en-de,3,43,0.17,0.18,0.19,0.18,-0.009999999999999981,-0.01999999999999999,-0.009999999999999981
translation_en-de,3,44,0.17,0.18,0.19,0.18,-0.009999999999999981,-0.01999999999999999,-0.009999999999999981
translation_en-de,4,42,0.15,0.17,0.15,0.16,-0.020000000000000018,0.0,-0.010000000000000009
translation_en-de,4,43,0.15,0.17,0.15,0.16,-0.020000000000000018,0.0,-0.010000000000000009
translation_en-de,4,44,0.15,0.17,0.15,0.16,-0.020000000000000018,0.0,-0.010000000000000009
translation_en-es,1,42,0.34,0.33,0.33,0.29,0.010000000000000009,0.010000000000000009,0.050000000000000044
translation_en-es,1,43,0.34,0.33,0.33,0.29,0.010000000000000009,0.010000000000000009,0.050000000000000044
translation_en-es,1,44,0.34,0.33,0.33,0.29,0.010000000000000009,0.010000000000000009,0.050000000000000044
translation_en-es,2,42,0.26,0.33,0.31,0.3,-0.07,-0.04999999999999999,-0.03999999999999998
translation_en-es,2,43,0.26,0.33,0.31,0.3,-0.07,-0.04999999999999999,-0.03999999999999998
translation_en-es,2,44,0.26,0.33,0.31,0.3,-0.07,-0.04999999999999999,-0.03999999999999998
translation_en-es,3,42,0.31,0.3,0.35,0.3,0.010000000000000009,-0.03999999999999998,0.010000000000000009
translation_en-es,3,43,0.31,0.3,0.35,0.3,0.010000000000000009,-0.03999999999999998,0.010000000000000009
translation_en-es,3,44,0.31,0.3,0.35,0.3,0.010000000000000009,-0.03999999999999998,0.010000000000000009
translation_en-es,4,42,0.3,0.26,0.3,0.33,0.03999999999999998,0.0,-0.030000000000000027
translation_en-es,4,43,0.3,0.26,0.3,0.33,0.03999999999999998,0.0,-0.030000000000000027
translation_en-es,4,44,0.3,0.26,0.3,0.33,0.03999999999999998,0.0,-0.030000000000000027
translation_en-fr,1,42,0.42,0.41,0.39,0.4,0.010000000000000009,0.02999999999999997,0.019999999999999962
translation_en-fr,1,43,0.42,0.41,0.39,0.4,0.010000000000000009,0.02999999999999997,0.019999999999999962
translation_en-fr,1,44,0.42,0.41,0.39,0.4,0.010000000000000009,0.02999999999999997,0.019999999999999962
translation_en-fr,2,42,0.4,0.43,0.42,0.43,-0.02999999999999997,-0.019999999999999962,-0.02999999999999997
translation_en-fr,2,43,0.4,0.43,0.42,0.43,-0.02999999999999997,-0.019999999999999962,-0.02999999999999997
translation_en-fr,2,44,0.4,0.43,0.42,0.43,-0.02999999999999997,-0.019999999999999962,-0.02999999999999997
translation_en-fr,3,42,0.39,0.44,0.39,0.45,-0.04999999999999999,0.0,-0.06
translation_en-fr,3,43,0.39,0.44,0.39,0.45,-0.04999999999999999,0.0,-0.06
translation_en-fr,3,44,0.39,0.44,0.39,0.45,-0.04999999999999999,0.0,-0.06
translation_en-fr,4,42,0.42,0.39,0.43,0.4,0.02999999999999997,-0.010000000000000009,0.019999999999999962
translation_en-fr,4,43,0.42,0.39,0.43,0.4,0.02999999999999997,-0.010000000000000009,0.019999999999999962
translation_en-fr,4,44,0.42,0.39,0.43,0.4,0.02999999999999997,-0.010000000000000009,0.019999999999999962
word_in_context,1,42,0.56,0.51,0.57,0.55,0.050000000000000044,-0.009999999999999898,0.010000000000000009
word_in_context,1,43,0.56,0.51,0.57,0.55,0.050000000000000044,-0.009999999999999898,0.010000000000000009
word_in_context,1,44,0.56,0.51,0.57,0.55,0.050000000000000044,-0.009999999999999898,0.010000000000000009
word_in_context,2,42,0.47,0.47,0.58,0.55,0.0,-0.10999999999999999,-0.08000000000000007
word_in_context,2,43,0.47,0.47,0.58,0.55,0.0,-0.10999999999999999,-0.08000000000000007
word_in_context,2,44,0.47,0.47,0.58,0.55,0.0,-0.10999999999999999,-0.08000000000000007
word_in_context,3,42,0.55,0.49,0.5,0.49,0.06000000000000005,0.050000000000000044,0.06000000000000005
word_in_context,3,43,0.55,0.49,0.5,0.49,0.06000000000000005,0.050000000000000044,0.06000000000000005
word_in_context,3,44,0.55,0.49,0.5,0.49,0.06000000000000005,0.050000000000000044,0.06000000000000005
word_in_context,4,42,0.56,0.52,0.56,0.59,0.040000000000000036,0.0,-0.029999999999999916
word_in_context,4,43,0.56,0.52,0.56,0.59,0.040000000000000036,0.0,-0.029999999999999916
word_in_context,4,44,0.56,0.52,0.56,0.59,0.040000000000000036,0.0,-0.029999999999999916
