model,task,group_label,n,mean_score,min_score,max_score
flan-t5-large,cause_and_effect,neutral_i2,3,0.5066666666666667,0.44,0.56
flan-t5-large,cause_and_effect,neutral_i3,3,0.5466666666666667,0.52,0.6
flan-t5-large,cause_and_effect,neutral_i4,3,0.6533333333333333,0.6,0.72
flan-t5-large,cause_and_effect,positive_i1,3,0.6,0.56,0.64
flan-t5-large,cause_and_effect,positive_i2,3,0.5866666666666668,0.56,0.64
flan-t5-large,cause_and_effect,positive_i3,3,0.52,0.48,0.56
flan-t5-large,cause_and_effect,positive_i4,3,0.64,0.56,0.68
flan-t5-large,common_concept,ambiguous_i1,3,0.0,0.0,0.0
flan-t5-large,common_concept,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,common_concept,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,common_concept,ambiguous_i4,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_control_i2,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_control_i4,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,common_concept,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,common_concept,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,common_concept,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,common_concept,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,common_concept,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,common_concept,positive_i1,3,0.0,0.0,0.0
flan-t5-large,common_concept,positive_i2,3,0.0,0.0,0.0
flan-t5-large,common_concept,positive_i3,3,0.0,0.0,0.0
flan-t5-large,common_concept,positive_i4,3,0.0,0.0,0.0
flan-t5-large,diff,ambiguous_i1,3,0.03,0.03,0.03
flan-t5-large,diff,ambiguous_i2,3,0.03,0.03,0.03
flan-t5-large,diff,ambiguous_i3,3,0.04,0.04,0.04
flan-t5-large,diff,ambiguous_i4,3,0.03,0.03,0.03
flan-t5-large,diff,negative_control_i1,3,0.06,0.06,0.06
flan-t5-large,diff,negative_control_i2,3,0.04,0.04,0.04
flan-t5-large,diff,negative_control_i3,3,0.03,0.03,0.03
flan-t5-large,diff,negative_control_i4,3,0.03,0.03,0.03
flan-t5-large,diff,negative_original_p1,3,0.04,0.04,0.04
flan-t5-large,diff,negative_original_p2,3,0.02,0.02,0.02
flan-t5-large,diff,negative_original_p3,3,0.02,0.02,0.02
flan-t5-large,diff,negative_original_p4,3,0.04,0.04,0.04
flan-t5-large,diff,neutral_i1,3,0.03,0.03,0.03
flan-t5-large,diff,neutral_i2,3,0.04,0.04,0.04
flan-t5-large,diff,neutral_i3,3,0.04,0.04,0.04
flan-t5-large,diff,neutral_i4,3,0.04,0.04,0.04
flan-t5-large,diff,positive_i1,3,0.03,0.03,0.03
flan-t5-large,diff,positive_i2,3,0.04,0.04,0.04
flan-t5-large,diff,positive_i3,3,0.03,0.03,0.03
flan-t5-large,diff,positive_i4,3,0.03,0.03,0.03
flan-t5-large,first_word_letter,ambiguous_i1,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,ambiguous_i2,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,ambiguous_i3,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,ambiguous_i4,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_control_i1,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_control_i2,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_control_i3,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_control_i4,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_original_p1,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_original_p2,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,negative_original_p3,3,0.9499999999999998,0.95,0.95
flan-t5-large,first_word_letter,negative_original_p4,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,neutral_i1,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,neutral_i2,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,neutral_i3,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,neutral_i4,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,positive_i1,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,positive_i2,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,positive_i3,3,1.0,1.0,1.0
flan-t5-large,first_word_letter,positive_i4,3,1.0,1.0,1.0
flan-t5-large,informal_to_formal,ambiguous_i1,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,ambiguous_i4,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_control_i2,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_control_i4,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,positive_i1,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,positive_i2,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,positive_i3,3,0.0,0.0,0.0
flan-t5-large,informal_to_formal,positive_i4,3,0.0,0.0,0.0
flan-t5-large,larger_animal,ambiguous_i1,3,0.68,0.68,0.68
flan-t5-large,larger_animal,ambiguous_i2,3,0.7200000000000001,0.72,0.72
flan-t5-large,larger_animal,ambiguous_i3,3,0.69,0.69,0.69
flan-t5-large,larger_animal,ambiguous_i4,3,0.66,0.66,0.66
flan-t5-large,larger_animal,negative_control_i1,3,0.7399999999999999,0.74,0.74
flan-t5-large,larger_animal,negative_control_i2,3,0.65,0.65,0.65
flan-t5-large,larger_animal,negative_control_i3,3,0.7200000000000001,0.72,0.72
flan-t5-large,larger_animal,negative_control_i4,3,0.6999999999999998,0.7,0.7
flan-t5-large,larger_animal,negative_original_p1,3,0.68,0.68,0.68
flan-t5-large,larger_animal,negative_original_p2,3,0.69,0.69,0.69
flan-t5-large,larger_animal,negative_original_p3,3,0.68,0.68,0.68
flan-t5-large,larger_animal,negative_original_p4,3,0.64,0.64,0.64
flan-t5-large,larger_animal,neutral_i1,3,0.67,0.67,0.67
flan-t5-large,larger_animal,neutral_i2,3,0.92,0.92,0.92
flan-t5-large,larger_animal,neutral_i3,3,0.6999999999999998,0.7,0.7
flan-t5-large,larger_animal,neutral_i4,3,0.67,0.67,0.67
flan-t5-large,larger_animal,positive_i1,3,0.66,0.66,0.66
flan-t5-large,larger_animal,positive_i2,3,0.73,0.73,0.73
flan-t5-large,larger_animal,positive_i3,3,0.69,0.69,0.69
flan-t5-large,larger_animal,positive_i4,3,0.68,0.68,0.68
flan-t5-large,letters_list,ambiguous_i1,3,0.0,0.0,0.0
flan-t5-large,letters_list,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,letters_list,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,letters_list,ambiguous_i4,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_control_i2,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_control_i4,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,letters_list,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,letters_list,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,letters_list,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,letters_list,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,letters_list,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,letters_list,positive_i1,3,0.0,0.0,0.0
flan-t5-large,letters_list,positive_i2,3,0.0,0.0,0.0
flan-t5-large,letters_list,positive_i3,3,0.0,0.0,0.0
flan-t5-large,letters_list,positive_i4,3,0.0,0.0,0.0
flan-t5-large,negation,ambiguous_i1,3,0.04,0.04,0.04
flan-t5-large,negation,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,negation,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,negation,ambiguous_i4,3,0.01,0.01,0.01
flan-t5-large,negation,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,negation,negative_control_i2,3,0.01,0.01,0.01
flan-t5-large,negation,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,negation,negative_control_i4,3,0.03,0.03,0.03
flan-t5-large,negation,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,negation,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,negation,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,negation,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,negation,neutral_i1,3,0.05000000000000001,0.05,0.05
flan-t5-large,negation,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,negation,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,negation,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,negation,positive_i1,3,0.02,0.02,0.02
flan-t5-large,negation,positive_i2,3,0.0,0.0,0.0
flan-t5-large,negation,positive_i3,3,0.03,0.03,0.03
flan-t5-large,negation,positive_i4,3,0.03,0.03,0.03
flan-t5-large,num_to_verbal,ambiguous_i1,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,ambiguous_i4,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_control_i2,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_control_i4,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,positive_i1,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,positive_i2,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,positive_i3,3,0.0,0.0,0.0
flan-t5-large,num_to_verbal,positive_i4,3,0.0,0.0,0.0
flan-t5-large,orthography_starts_with,ambiguous_i1,3,0.13,0.13,0.13
flan-t5-large,orthography_starts_with,ambiguous_i2,3,0.12,0.12,0.12
flan-t5-large,orthography_starts_with,ambiguous_i3,3,0.12,0.12,0.12
flan-t5-large,orthography_starts_with,ambiguous_i4,3,0.11,0.11,0.11
flan-t5-large,orthography_starts_with,negative_control_i1,3,0.18000000000000002,0.18,0.18
flan-t5-large,orthography_starts_with,negative_control_i2,3,0.10000000000000002,0.1,0.1
flan-t5-large,orthography_starts_with,negative_control_i3,3,0.18000000000000002,0.18,0.18
flan-t5-large,orthography_starts_with,negative_control_i4,3,0.15,0.15,0.15
flan-t5-large,orthography_starts_with,negative_original_p1,3,0.04,0.04,0.04
flan-t5-large,orthography_starts_with,negative_original_p2,3,0.05000000000000001,0.05,0.05
flan-t5-large,orthography_starts_with,negative_original_p3,3,0.04,0.04,0.04
flan-t5-large,orthography_starts_with,negative_original_p4,3,0.05000000000000001,0.05,0.05
flan-t5-large,orthography_starts_with,neutral_i1,3,0.09000000000000001,0.09,0.09
flan-t5-large,orthography_starts_with,neutral_i2,3,0.18000000000000002,0.18,0.18
flan-t5-large,orthography_starts_with,neutral_i3,3,0.09000000000000001,0.09,0.09
flan-t5-large,orthography_starts_with,neutral_i4,3,0.12,0.12,0.12
flan-t5-large,orthography_starts_with,positive_i1,3,0.12,0.12,0.12
flan-t5-large,orthography_starts_with,positive_i2,3,0.12,0.12,0.12
flan-t5-large,orthography_starts_with,positive_i3,3,0.15,0.15,0.15
flan-t5-large,orthography_starts_with,positive_i4,3,0.09000000000000001,0.09,0.09
flan-t5-large,rhymes,ambiguous_i1,3,0.16,0.16,0.16
flan-t5-large,rhymes,ambiguous_i2,3,0.16,0.16,0.16
flan-t5-large,rhymes,ambiguous_i3,3,0.14,0.14,0.14
flan-t5-large,rhymes,ambiguous_i4,3,0.16,0.16,0.16
flan-t5-large,rhymes,negative_control_i1,3,0.13,0.13,0.13
flan-t5-large,rhymes,negative_control_i2,3,0.20000000000000004,0.2,0.2
flan-t5-large,rhymes,negative_control_i3,3,0.14,0.14,0.14
flan-t5-large,rhymes,negative_control_i4,3,0.13,0.13,0.13
flan-t5-large,rhymes,negative_original_p1,3,0.28,0.28,0.28
flan-t5-large,rhymes,negative_original_p2,3,0.28,0.28,0.28
flan-t5-large,rhymes,negative_original_p3,3,0.21,0.21,0.21
flan-t5-large,rhymes,negative_original_p4,3,0.28,0.28,0.28
flan-t5-large,rhymes,neutral_i1,3,0.17,0.17,0.17
flan-t5-large,rhymes,neutral_i2,3,0.15,0.15,0.15
flan-t5-large,rhymes,neutral_i3,3,0.16,0.16,0.16
flan-t5-large,rhymes,neutral_i4,3,0.15,0.15,0.15
flan-t5-large,rhymes,positive_i1,3,0.17,0.17,0.17
flan-t5-large,rhymes,positive_i2,3,0.21,0.21,0.21
flan-t5-large,rhymes,positive_i3,3,0.25,0.25,0.25
flan-t5-large,rhymes,positive_i4,3,0.17,0.17,0.17
flan-t5-large,second_word_letter,ambiguous_i1,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,ambiguous_i2,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,ambiguous_i3,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,ambiguous_i4,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,negative_control_i1,3,0.89,0.89,0.89
flan-t5-large,second_word_letter,negative_control_i2,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,negative_control_i3,3,0.9899999999999999,0.99,0.99
flan-t5-large,second_word_letter,negative_control_i4,3,0.9700000000000001,0.97,0.97
flan-t5-large,second_word_letter,negative_original_p1,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,negative_original_p2,3,0.9700000000000001,0.97,0.97
flan-t5-large,second_word_letter,negative_original_p3,3,0.7600000000000001,0.76,0.76
flan-t5-large,second_word_letter,negative_original_p4,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,neutral_i1,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,neutral_i2,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,neutral_i3,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,neutral_i4,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,positive_i1,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,positive_i2,3,1.0,1.0,1.0
flan-t5-large,second_word_letter,positive_i3,3,0.9499999999999998,0.95,0.95
flan-t5-large,second_word_letter,positive_i4,3,1.0,1.0,1.0
flan-t5-large,sentence_similarity,ambiguous_i1,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,ambiguous_i2,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,ambiguous_i3,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,ambiguous_i4,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_control_i1,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_control_i2,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_control_i3,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_control_i4,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_original_p1,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_original_p2,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_original_p3,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,negative_original_p4,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,neutral_i1,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,neutral_i2,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,neutral_i3,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,neutral_i4,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,positive_i1,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,positive_i2,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,positive_i3,3,0.0,0.0,0.0
flan-t5-large,sentence_similarity,positive_i4,3,0.0,0.0,0.0
flan-t5-large,sentiment,ambiguous_i1,3,0.93,0.93,0.93
flan-t5-large,sentiment,ambiguous_i2,3,0.93,0.93,0.93
flan-t5-large,sentiment,ambiguous_i3,3,0.93,0.93,0.93
flan-t5-large,sentiment,ambiguous_i4,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_control_i1,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_control_i2,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_control_i3,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_control_i4,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_original_p1,3,0.93,0.93,0.93
flan-t5-large,sentiment,negative_original_p2,3,0.94,0.94,0.94
flan-t5-large,sentiment,negative_original_p3,3,0.9499999999999998,0.95,0.95
flan-t5-large,sentiment,negative_original_p4,3,0.94,0.94,0.94
flan-t5-large,sentiment,neutral_i1,3,0.93,0.93,0.93
flan-t5-large,sentiment,neutral_i2,3,0.93,0.93,0.93
flan-t5-large,sentiment,neutral_i3,3,0.93,0.93,0.93
flan-t5-large,sentiment,neutral_i4,3,0.93,0.93,0.93
flan-t5-large,sentiment,positive_i1,3,0.93,0.93,0.93
flan-t5-large,sentiment,positive_i2,3,0.93,0.93,0.93
flan-t5-large,sentiment,positive_i3,3,0.93,0.93,0.93
flan-t5-large,sentiment,positive_i4,3,0.93,0.93,0.93
flan-t5-large,singular_to_plural,ambiguous_i1,3,0.17,0.17,0.17
flan-t5-large,singular_to_plural,ambiguous_i2,3,0.38000000000000006,0.38,0.38
flan-t5-large,singular_to_plural,ambiguous_i3,3,0.21,0.21,0.21
flan-t5-large,singular_to_plural,ambiguous_i4,3,0.3,0.3,0.3
flan-t5-large,singular_to_plural,negative_control_i1,3,0.38000000000000006,0.38,0.38
flan-t5-large,singular_to_plural,negative_control_i2,3,0.22,0.22,0.22
flan-t5-large,singular_to_plural,negative_control_i3,3,0.09000000000000001,0.09,0.09
flan-t5-large,singular_to_plural,negative_control_i4,3,0.12,0.12,0.12
flan-t5-large,singular_to_plural,negative_original_p1,3,0.12,0.12,0.12
flan-t5-large,singular_to_plural,negative_original_p2,3,0.15,0.15,0.15
flan-t5-large,singular_to_plural,negative_original_p3,3,0.11,0.11,0.11
flan-t5-large,singular_to_plural,negative_original_p4,3,0.12,0.12,0.12
flan-t5-large,singular_to_plural,neutral_i1,3,0.36000000000000004,0.36,0.36
flan-t5-large,singular_to_plural,neutral_i2,3,0.36000000000000004,0.36,0.36
flan-t5-large,singular_to_plural,neutral_i3,3,0.42,0.42,0.42
flan-t5-large,singular_to_plural,neutral_i4,3,0.24,0.24,0.24
flan-t5-large,singular_to_plural,positive_i1,3,0.29,0.29,0.29
flan-t5-large,singular_to_plural,positive_i2,3,0.28,0.28,0.28
flan-t5-large,singular_to_plural,positive_i3,3,0.3499999999999999,0.35,0.35
flan-t5-large,singular_to_plural,positive_i4,3,0.3,0.3,0.3
flan-t5-large,sum,ambiguous_i1,3,0.02,0.02,0.02
flan-t5-large,sum,ambiguous_i2,3,0.02,0.02,0.02
flan-t5-large,sum,ambiguous_i3,3,0.02,0.02,0.02
flan-t5-large,sum,ambiguous_i4,3,0.03,0.03,0.03
flan-t5-large,sum,negative_control_i1,3,0.02,0.02,0.02
flan-t5-large,sum,negative_control_i2,3,0.02,0.02,0.02
flan-t5-large,sum,negative_control_i3,3,0.02,0.02,0.02
flan-t5-large,sum,negative_control_i4,3,0.02,0.02,0.02
flan-t5-large,sum,negative_original_p1,3,0.02,0.02,0.02
flan-t5-large,sum,negative_original_p2,3,0.02,0.02,0.02
flan-t5-large,sum,negative_original_p3,3,0.03,0.03,0.03
flan-t5-large,sum,negative_original_p4,3,0.02,0.02,0.02
flan-t5-large,sum,neutral_i1,3,0.02,0.02,0.02
flan-t5-large,sum,neutral_i2,3,0.02,0.02,0.02
flan-t5-large,sum,neutral_i3,3,0.02,0.02,0.02
flan-t5-large,sum,neutral_i4,3,0.02,0.02,0.02
flan-t5-large,sum,positive_i1,3,0.03,0.03,0.03
flan-t5-large,sum,positive_i2,3,0.03,0.03,0.03
flan-t5-large,sum,positive_i3,3,0.02,0.02,0.02
flan-t5-large,sum,positive_i4,3,0.02,0.02,0.02
flan-t5-large,synonyms,ambiguous_i1,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,ambiguous_i2,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,ambiguous_i3,3,0.06,0.06,0.06
flan-t5-large,synonyms,ambiguous_i4,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_control_i1,3,0.04,0.04,0.04
flan-t5-large,synonyms,negative_control_i2,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_control_i3,3,0.04,0.04,0.04
flan-t5-large,synonyms,negative_control_i4,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_original_p1,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_original_p2,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_original_p3,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,negative_original_p4,3,0.04,0.04,0.04
flan-t5-large,synonyms,neutral_i1,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,neutral_i2,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,neutral_i3,3,0.04,0.04,0.04
flan-t5-large,synonyms,neutral_i4,3,0.06,0.06,0.06
flan-t5-large,synonyms,positive_i1,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,positive_i2,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,positive_i3,3,0.05000000000000001,0.05,0.05
flan-t5-large,synonyms,positive_i4,3,0.05000000000000001,0.05,0.05
flan-t5-large,taxonomy_animal,ambiguous_i1,3,0.12,0.12,0.12
flan-t5-large,taxonomy_animal,ambiguous_i2,3,0.15,0.15,0.15
