task,pair,seed,neutral_score,negative_score,delta_negative_minus_neutral
sentence_similarity,3,43,0.0,0.0,0.0
sentence_similarity,3,44,0.0,0.0,0.0
sentence_similarity,4,42,0.0,0.0,0.0
sentence_similarity,4,43,0.0,0.0,0.0
sentence_similarity,4,44,0.0,0.0,0.0
sentiment,1,42,0.93,0.93,0.0
sentiment,1,43,0.93,0.93,0.0
sentiment,1,44,0.93,0.93,0.0
sentiment,2,42,0.93,0.94,0.009999999999999898
sentiment,2,43,0.93,0.94,0.009999999999999898
sentiment,2,44,0.93,0.94,0.009999999999999898
sentiment,3,42,0.93,0.95,0.019999999999999907
sentiment,3,43,0.93,0.95,0.019999999999999907
sentiment,3,44,0.93,0.95,0.019999999999999907
sentiment,4,42,0.93,0.94,0.009999999999999898
sentiment,4,43,0.93,0.94,0.009999999999999898
sentiment,4,44,0.93,0.94,0.009999999999999898
singular_to_plural,1,42,0.36,0.12,-0.24
singular_to_plural,1,43,0.36,0.12,-0.24
singular_to_plural,1,44,0.36,0.12,-0.24
singular_to_plural,2,42,0.36,0.15,-0.21
singular_to_plural,2,43,0.36,0.15,-0.21
singular_to_plural,2,44,0.36,0.15,-0.21
singular_to_plural,3,42,0.42,0.11,-0.31
singular_to_plural,3,43,0.42,0.11,-0.31
singular_to_plural,3,44,0.42,0.11,-0.31
singular_to_plural,4,42,0.24,0.12,-0.12
singular_to_plural,4,43,0.24,0.12,-0.12
singular_to_plural,4,44,0.24,0.12,-0.12
sum,1,42,0.02,0.02,0.0
sum,1,43,0.02,0.02,0.0
sum,1,44,0.02,0.02,0.0
sum,2,42,0.02,0.02,0.0
sum,2,43,0.02,0.02,0.0
sum,2,44,0.02,0.02,0.0
sum,3,42,0.02,0.03,0.009999999999999998
sum,3,43,0.02,0.03,0.009999999999999998
sum,3,44,0.02,0.03,0.009999999999999998
sum,4,42,0.02,0.02,0.0
sum,4,43,0.02,0.02,0.0
sum,4,44,0.02,0.02,0.0
synonyms,1,42,0.05,0.05,0.0
synonyms,1,43,0.05,0.05,0.0
synonyms,1,44,0.05,0.05,0.0
synonyms,2,42,0.05,0.05,0.0
synonyms,2,43,0.05,0.05,0.0
synonyms,2,44,0.05,0.05,0.0
synonyms,3,42,0.04,0.05,0.010000000000000002
synonyms,3,43,0.04,0.05,0.010000000000000002
synonyms,3,44,0.04,0.05,0.010000000000000002
synonyms,4,42,0.06,0.04,-0.019999999999999997
synonyms,4,43,0.06,0.04,-0.019999999999999997
synonyms,4,44,0.06,0.04,-0.019999999999999997
taxonomy_animal,1,42,0.11,0.12,0.009999999999999995
taxonomy_animal,1,43,0.11,0.12,0.009999999999999995
taxonomy_animal,1,44,0.11,0.12,0.009999999999999995
taxonomy_animal,2,42,0.0,0.14,0.14
taxonomy_animal,2,43,0.0,0.14,0.14
taxonomy_animal,2,44,0.0,0.14,0.14
taxonomy_animal,3,42,0.09,0.07,-0.01999999999999999
taxonomy_animal,3,43,0.09,0.07,-0.01999999999999999
taxonomy_animal,3,44,0.09,0.07,-0.01999999999999999
taxonomy_animal,4,42,0.08,0.07,-0.009999999999999995
taxonomy_animal,4,43,0.08,0.07,-0.009999999999999995
taxonomy_animal,4,44,0.08,0.07,-0.009999999999999995
translation_en-de,1,42,0.18,0.16,-0.01999999999999999
translation_en-de,1,43,0.18,0.16,-0.01999999999999999
translation_en-de,1,44,0.18,0.16,-0.01999999999999999
translation_en-de,2,42,0.2,0.19,-0.010000000000000009
translation_en-de,2,43,0.2,0.19,-0.010000000000000009
translation_en-de,2,44,0.2,0.19,-0.010000000000000009
translation_en-de,3,42,0.18,0.18,0.0
translation_en-de,3,43,0.18,0.18,0.0
translation_en-de,3,44,0.18,0.18,0.0
translation_en-de,4,42,0.17,0.18,0.009999999999999981
translation_en-de,4,43,0.17,0.18,0.009999999999999981
translation_en-de,4,44,0.17,0.18,0.009999999999999981
translation_en-es,1,42,0.33,0.3,-0.030000000000000027
translation_en-es,1,43,0.33,0.3,-0.030000000000000027
translation_en-es,1,44,0.33,0.3,-0.030000000000000027
translation_en-es,2,42,0.33,0.26,-0.07
translation_en-es,2,43,0.33,0.26,-0.07
translation_en-es,2,44,0.33,0.26,-0.07
translation_en-es,3,42,0.3,0.25,-0.04999999999999999
translation_en-es,3,43,0.3,0.25,-0.04999999999999999
translation_en-es,3,44,0.3,0.25,-0.04999999999999999
translation_en-es,4,42,0.26,0.31,0.04999999999999999
translation_en-es,4,43,0.26,0.31,0.04999999999999999
translation_en-es,4,44,0.26,0.31,0.04999999999999999
translation_en-fr,1,42,0.41,0.41,0.0
translation_en-fr,1,43,0.41,0.41,0.0
translation_en-fr,1,44,0.41,0.41,0.0
translation_en-fr,2,42,0.43,0.34,-0.08999999999999997
translation_en-fr,2,43,0.43,0.34,-0.08999999999999997
translation_en-fr,2,44,0.43,0.34,-0.08999999999999997
translation_en-fr,3,42,0.44,0.38,-0.06
translation_en-fr,3,43,0.44,0.38,-0.06
translation_en-fr,3,44,0.44,0.38,-0.06
translation_en-fr,4,42,0.39,0.38,-0.010000000000000009
translation_en-fr,4,43,0.39,0.38,-0.010000000000000009
translation_en-fr,4,44,0.39,0.38,-0.010000000000000009
word_in_context,1,42,0.51,0.58,0.06999999999999995
word_in_context,1,43,0.51,0.58,0.06999999999999995
word_in_context,1,44,0.51,0.58,0.06999999999999995
word_in_context,2,42,0.47,0.59,0.12
word_in_context,2,43,0.47,0.59,0.12
word_in_context,2,44,0.47,0.59,0.12
word_in_context,3,42,0.49,0.61,0.12
word_in_context,3,43,0.49,0.61,0.12
word_in_context,3,44,0.49,0.61,0.12
word_in_context,4,42,0.52,0.56,0.040000000000000036
word_in_context,4,43,0.52,0.56,0.040000000000000036
word_in_context,4,44,0.52,0.56,0.040000000000000036
