Modèle,Stimulus,Tâche,Score
vicuna,NP09,causal_judgment,0.0
vicuna,NP10,sentiment,0.0
vicuna,NP10,antonyms,0.0
vicuna,NP10,synonyms,0.0
vicuna,NP10,larger_animal,0.0
vicuna,NP10,logical_deduction,0.0
vicuna,NP10,causal_judgment,0.0
llama2,NP00,sentiment,0.0
llama2,NP00,antonyms,0.0
llama2,NP00,synonyms,0.0
llama2,NP00,larger_animal,0.0
llama2,NP00,logical_deduction,0.0
llama2,NP00,causal_judgment,0.0
llama2,NP01,sentiment,0.0
llama2,NP01,antonyms,0.0
llama2,NP01,synonyms,0.0
llama2,NP01,larger_animal,0.0
llama2,NP01,logical_deduction,0.0
llama2,NP01,causal_judgment,0.0
llama2,NP02,sentiment,0.0
llama2,NP02,antonyms,0.0
llama2,NP02,synonyms,0.0
llama2,NP02,larger_animal,0.0
llama2,NP02,logical_deduction,0.0
llama2,NP02,causal_judgment,0.0
llama2,NP03,sentiment,0.0
llama2,NP03,antonyms,0.0
llama2,NP03,synonyms,0.0
llama2,NP03,larger_animal,0.0
llama2,NP03,logical_deduction,0.0
llama2,NP03,causal_judgment,0.0
llama2,NP04,sentiment,0.0
llama2,NP04,antonyms,0.0
llama2,NP04,synonyms,0.0
llama2,NP04,larger_animal,0.0
llama2,NP04,logical_deduction,0.0
llama2,NP04,causal_judgment,0.0
llama2,NP05,sentiment,0.0
llama2,NP05,antonyms,0.0
llama2,NP05,synonyms,0.0
llama2,NP05,larger_animal,0.0
llama2,NP05,logical_deduction,0.0
llama2,NP05,causal_judgment,0.0
llama2,NP06,sentiment,0.0
llama2,NP06,antonyms,0.0
llama2,NP06,synonyms,0.0
llama2,NP06,larger_animal,0.0
llama2,NP06,logical_deduction,0.0
llama2,NP06,causal_judgment,0.0
llama2,NP07,sentiment,0.0
llama2,NP07,antonyms,0.0
llama2,NP07,synonyms,0.0
llama2,NP07,larger_animal,0.0
llama2,NP07,logical_deduction,0.0
llama2,NP07,causal_judgment,0.0
llama2,NP08,sentiment,0.0
llama2,NP08,antonyms,0.0
llama2,NP08,synonyms,0.0
llama2,NP08,larger_animal,0.0
llama2,NP08,logical_deduction,0.0
llama2,NP08,causal_judgment,0.0
llama2,NP09,sentiment,0.0
llama2,NP09,antonyms,0.0
llama2,NP09,synonyms,0.0
llama2,NP09,larger_animal,0.0
llama2,NP09,logical_deduction,0.0
llama2,NP09,causal_judgment,0.0
llama2,NP10,sentiment,0.0
llama2,NP10,antonyms,0.0
llama2,NP10,synonyms,0.0
llama2,NP10,larger_animal,0.0
llama2,NP10,logical_deduction,0.0
llama2,NP10,causal_judgment,0.0
