Modèle,Stimulus,Catégorie,Tâche,Score
t5,NP09,Induction,synonyms,0.02
t5,NP09,BIG-bench,larger_animal,0.73
t5,NP09,BIG-bench,logical_deduction,0.0
t5,NP09,BIG-bench,causal_judgment,0.0
t5,NP10,Induction,sentiment,0.94
t5,NP10,Induction,antonyms,0.52
t5,NP10,Induction,synonyms,0.04
t5,NP10,BIG-bench,larger_animal,0.68
t5,NP10,BIG-bench,logical_deduction,0.0
t5,NP10,BIG-bench,causal_judgment,0.0
vicuna,NP00,Induction,sentiment,0.0
vicuna,NP00,Induction,antonyms,0.0
vicuna,NP00,Induction,synonyms,0.0
vicuna,NP00,BIG-bench,larger_animal,0.0
vicuna,NP00,BIG-bench,logical_deduction,0.0
vicuna,NP00,BIG-bench,causal_judgment,0.0
vicuna,NP01,Induction,sentiment,0.0
vicuna,NP01,Induction,antonyms,0.0
vicuna,NP01,Induction,synonyms,0.0
vicuna,NP01,BIG-bench,larger_animal,0.0
vicuna,NP01,BIG-bench,logical_deduction,0.0
vicuna,NP01,BIG-bench,causal_judgment,0.0
vicuna,NP02,Induction,sentiment,0.0
vicuna,NP02,Induction,antonyms,0.0
vicuna,NP02,Induction,synonyms,0.0
vicuna,NP02,BIG-bench,larger_animal,0.0
vicuna,NP02,BIG-bench,logical_deduction,0.0
vicuna,NP02,BIG-bench,causal_judgment,0.0
vicuna,NP03,Induction,sentiment,0.0
vicuna,NP03,Induction,antonyms,0.0
vicuna,NP03,Induction,synonyms,0.0
vicuna,NP03,BIG-bench,larger_animal,0.0
vicuna,NP03,BIG-bench,logical_deduction,0.0
vicuna,NP03,BIG-bench,causal_judgment,0.0
vicuna,NP04,Induction,sentiment,0.0
vicuna,NP04,Induction,antonyms,0.0
vicuna,NP04,Induction,synonyms,0.0
vicuna,NP04,BIG-bench,larger_animal,0.0
vicuna,NP04,BIG-bench,logical_deduction,0.0
vicuna,NP04,BIG-bench,causal_judgment,0.0
vicuna,NP05,Induction,sentiment,0.0
vicuna,NP05,Induction,antonyms,0.0
vicuna,NP05,Induction,synonyms,0.0
vicuna,NP05,BIG-bench,larger_animal,0.0
vicuna,NP05,BIG-bench,logical_deduction,0.0
vicuna,NP05,BIG-bench,causal_judgment,0.0
vicuna,NP06,Induction,sentiment,0.0
vicuna,NP06,Induction,antonyms,0.0
vicuna,NP06,Induction,synonyms,0.0
vicuna,NP06,BIG-bench,larger_animal,0.0
vicuna,NP06,BIG-bench,logical_deduction,0.0
vicuna,NP06,BIG-bench,causal_judgment,0.0
vicuna,NP07,Induction,sentiment,0.0
vicuna,NP07,Induction,antonyms,0.0
vicuna,NP07,Induction,synonyms,0.0
vicuna,NP07,BIG-bench,larger_animal,0.0
vicuna,NP07,BIG-bench,logical_deduction,0.0
vicuna,NP07,BIG-bench,causal_judgment,0.0
vicuna,NP08,Induction,sentiment,0.0
vicuna,NP08,Induction,antonyms,0.0
vicuna,NP08,Induction,synonyms,0.0
vicuna,NP08,BIG-bench,larger_animal,0.0
vicuna,NP08,BIG-bench,logical_deduction,0.0
vicuna,NP08,BIG-bench,causal_judgment,0.0
vicuna,NP09,Induction,sentiment,0.0
vicuna,NP09,Induction,antonyms,0.0
vicuna,NP09,Induction,synonyms,0.0
vicuna,NP09,BIG-bench,larger_animal,0.0
vicuna,NP09,BIG-bench,logical_deduction,0.0
vicuna,NP09,BIG-bench,causal_judgment,0.0
vicuna,NP10,Induction,sentiment,0.0
vicuna,NP10,Induction,antonyms,0.0
vicuna,NP10,Induction,synonyms,0.0
vicuna,NP10,BIG-bench,larger_animal,0.0
vicuna,NP10,BIG-bench,logical_deduction,0.0
vicuna,NP10,BIG-bench,causal_judgment,0.0
